user_id,total_length,sentence_count,topic_count,none_count,total_topic,stan_topic_count,stan_none_count
naotok24,213,17,8,9,17,0.47058823529411764,0.5294117647058824
Yuko_office,414,20,14,6,20,0.7,0.3
4409144,648,28,19,9,28,0.6785714285714286,0.32142857142857145
1778742,564,28,15,13,28,0.5357142857142857,0.4642857142857143
にゃすも,417,28,17,11,28,0.6071428571428571,0.39285714285714285
2977582,312,18,11,7,18,0.6111111111111112,0.3888888888888889
ys15_cw,455,22,11,11,22,0.5,0.5
4173223,390,23,10,13,23,0.43478260869565216,0.5652173913043478
quartet456,926,40,13,27,40,0.325,0.675
1743130,349,20,14,6,20,0.7,0.3
mor2kir1500,453,26,9,17,26,0.34615384615384615,0.6538461538461539
4006340,401,16,9,7,16,0.5625,0.4375
acu9751cw,1093,41,15,26,41,0.36585365853658536,0.6341463414634146
5596175,206,20,7,13,20,0.35,0.65
rdkny933,357,21,19,2,21,0.9047619047619048,0.09523809523809523
yume43,141,15,8,7,15,0.5333333333333333,0.4666666666666667
5479130,271,22,12,10,22,0.5454545454545454,0.45454545454545453
mo3177chi,242,18,7,11,18,0.3888888888888889,0.6111111111111112
4923339,668,25,7,18,25,0.28,0.72
878721,449,19,4,15,19,0.21052631578947367,0.7894736842105263
94338,474,23,20,3,23,0.8695652173913043,0.13043478260869565
4011894,418,23,13,10,23,0.5652173913043478,0.43478260869565216
1452004,579,26,6,20,26,0.23076923076923078,0.7692307692307693
95866,281,17,8,9,17,0.47058823529411764,0.5294117647058824
KoHaRu09,282,18,7,11,18,0.3888888888888889,0.6111111111111112
tamachi3,264,15,8,7,15,0.5333333333333333,0.4666666666666667
akimi381,659,41,15,26,41,0.36585365853658536,0.6341463414634146
4008717,784,24,19,5,24,0.7916666666666666,0.20833333333333334
2810580,495,16,16,0,16,1.0,0.0
2600289,358,21,11,10,21,0.5238095238095238,0.47619047619047616
5616595,939,31,21,10,31,0.6774193548387096,0.3225806451612903
SGヘルスケア,439,18,11,7,18,0.6111111111111112,0.3888888888888889
shigenoi,342,22,10,12,22,0.45454545454545453,0.5454545454545454
2106307,744,33,23,10,33,0.696969696969697,0.30303030303030304
877724,476,17,13,4,17,0.7647058823529411,0.23529411764705882
Togotogo,575,26,19,7,26,0.7307692307692307,0.2692307692307692
5517900,342,16,8,8,16,0.5,0.5
1472598,630,25,21,4,25,0.84,0.16
4150657,290,19,14,5,19,0.7368421052631579,0.2631578947368421
115345,553,29,18,11,29,0.6206896551724138,0.3793103448275862
5859850,201,19,11,8,19,0.5789473684210527,0.42105263157894735
4213579,443,19,17,2,19,0.8947368421052632,0.10526315789473684
4551146,516,27,15,12,27,0.5555555555555556,0.4444444444444444
makimaki0519,656,29,14,15,29,0.4827586206896552,0.5172413793103449
1065632,582,31,23,8,31,0.7419354838709677,0.25806451612903225
4758400,416,25,11,14,25,0.44,0.56
776557,422,23,6,17,23,0.2608695652173913,0.7391304347826086
khi1_b4aa,282,23,6,17,23,0.2608695652173913,0.7391304347826086
