user_id,total_length,sentence_count,topic_count,none_count,total_topic,stan_topic_count,stan_none_count
1127132,454,23,14,9,23,0.6086956521739131,0.391304347826087
5289773,381,18,9,9,18,0.5,0.5
4002112,828,31,19,12,31,0.6129032258064516,0.3870967741935484
3602839,458,15,8,7,15,0.5333333333333333,0.4666666666666667
1103016,232,21,10,11,21,0.47619047619047616,0.5238095238095238
4651532,250,14,9,5,14,0.6428571428571429,0.35714285714285715
5372982,926,26,10,16,26,0.38461538461538464,0.6153846153846154
4340461,268,17,8,9,17,0.47058823529411764,0.5294117647058824
4733003,375,17,7,10,17,0.4117647058823529,0.5882352941176471
1454035,703,29,7,22,29,0.2413793103448276,0.7586206896551724
1264394,447,22,20,2,22,0.9090909090909091,0.09090909090909091
1220629,522,26,20,6,26,0.7692307692307693,0.23076923076923078
5196867,734,33,3,30,33,0.09090909090909091,0.9090909090909091
5218071,547,26,21,5,26,0.8076923076923077,0.19230769230769232
2579314,778,35,20,15,35,0.5714285714285714,0.42857142857142855
113407,1087,40,32,8,40,0.8,0.2
1335657,340,19,12,7,19,0.631578947368421,0.3684210526315789
2141268,1700,45,28,17,45,0.6222222222222222,0.37777777777777777
4921532,692,32,20,12,32,0.625,0.375
4658590,530,22,18,4,22,0.8181818181818182,0.18181818181818182
3158965,754,35,24,11,35,0.6857142857142857,0.3142857142857143
1359285,442,19,0,19,19,0.0,1.0
106610,403,20,4,16,20,0.2,0.8
148287,309,15,12,3,15,0.8,0.2
3536109,492,16,13,3,16,0.8125,0.1875
3312891,1106,21,11,10,21,0.5238095238095238,0.47619047619047616
5109125,382,20,9,11,20,0.45,0.55
4587175,848,22,19,3,22,0.8636363636363636,0.13636363636363635
5261619,1203,53,32,21,53,0.6037735849056604,0.39622641509433965
5138531,686,22,17,5,22,0.7727272727272727,0.22727272727272727
4556406,445,26,21,5,26,0.8076923076923077,0.19230769230769232
367640,2063,55,43,12,55,0.7818181818181819,0.21818181818181817
5054908,816,39,18,21,39,0.46153846153846156,0.5384615384615384
4548801,372,22,8,14,22,0.36363636363636365,0.6363636363636364
5348603,236,18,11,7,18,0.6111111111111112,0.3888888888888889
5957432,237,20,5,15,20,0.25,0.75
4802537,882,25,18,7,25,0.72,0.28
1414611,1386,35,19,16,35,0.5428571428571428,0.45714285714285713
4562747,479,25,15,10,25,0.6,0.4
5208842,543,21,16,5,21,0.7619047619047619,0.23809523809523808
3954203,686,29,22,7,29,0.7586206896551724,0.2413793103448276
3153377,466,19,18,1,19,0.9473684210526315,0.05263157894736842
1610899,1095,34,13,21,34,0.38235294117647056,0.6176470588235294
5664835,775,27,10,17,27,0.37037037037037035,0.6296296296296297
4815918,1147,50,26,24,50,0.52,0.48
