user_id,day1_cos_AI_Human,day1_cos_diary_AI,day1_cos_diary_Human,day2_cos_AI_Human,day2_cos_diary_AI,day2_cos_diary_Human,day3_cos_AI_Human,day3_cos_diary_AI,day3_cos_diary_Human,ave_BERT_cos_AI_Human,ave_BERT_cos_diary_AI,ave_cos_BERT_diary_Human,group
878721,0.788,0.646,0.869,0.6,0.353,0.341,0.597,0.383,0.301,0.768,0.431,0.427,c
94338,0.734,0.803,0.693,0.236,0.462,0.301,0.52,0.525,0.466,0.743,0.333,0.503,c
95866,0.645,0.75,0.804,0.355,0.36,0.389,0.502,0.552,0.494,0.733,0.368,0.516,c
acu9751cw,0.788,0.795,0.859,0.483,0.337,0.571,0.704,0.56,0.669,0.814,0.463,0.644,c
akimi381,0.653,0.781,0.616,0.449,0.375,0.393,0.588,0.562,0.623,0.683,0.405,0.591,c
khi1_b4aa,0.655,0.683,0.628,0.305,0.411,0.267,0.456,0.42,0.428,0.655,0.328,0.435,c
KoHaRu09,0.795,0.723,0.657,0.223,0.157,0.201,0.425,0.364,0.291,0.725,0.194,0.36,c
makimaki0519,0.639,0.738,0.777,0.43,0.331,0.36,0.615,0.54,0.543,0.718,0.374,0.566,c
mor2kir1500,0.593,0.778,0.804,0.387,0.482,0.39,0.494,0.592,0.606,0.725,0.42,0.564,c
naotok24,0.526,0.59,0.681,0.293,0.392,0.358,0.568,0.466,0.536,0.599,0.348,0.523,c
quartet456,0.74,0.863,0.783,0.477,0.318,0.467,0.63,0.38,0.597,0.795,0.421,0.536,c
rdkny933,0.56,0.716,0.732,0.344,0.394,0.483,0.489,0.548,0.584,0.669,0.407,0.54,c
SGヘルスケア,0.734,0.617,0.735,0.369,0.232,0.328,0.527,0.475,0.58,0.695,0.31,0.527,c
shigenoi,0.762,0.633,0.689,0.247,0.394,0.372,0.492,0.567,0.607,0.695,0.338,0.555,c
ys15_cw,0.679,0.821,0.776,0.415,0.448,0.352,0.632,0.61,0.483,0.759,0.405,0.575,c
Yuko_office,0.768,0.73,0.816,0.231,0.373,0.417,0.402,0.608,0.595,0.772,0.341,0.535,c
yume43,0.548,0.606,0.638,0.403,0.486,0.276,0.485,0.345,0.321,0.598,0.388,0.384,c
にゃすも,0.7,0.68,0.65,0.32,0.402,0.427,0.391,0.338,0.661,0.677,0.383,0.463,c
5596175,0.583,0.764,0.74,0.34,0.512,0.512,0.459,0.589,0.655,0.695,0.455,0.568,c
1472598,0.674,0.728,0.821,0.443,0.476,0.526,0.688,0.676,0.63,0.741,0.482,0.665,c
4173223,0.693,0.723,0.692,0.354,0.357,0.306,0.533,0.455,0.453,0.703,0.339,0.481,c
5616595,0.888,0.804,0.744,0.518,0.383,0.365,0.588,0.616,0.539,0.812,0.422,0.581,c
115345,0.766,0.63,0.785,0.399,0.47,0.383,0.617,0.702,0.493,0.727,0.417,0.604,c
mo3177chi,0.769,0.653,0.555,0.554,0.396,0.317,0.603,0.528,0.463,0.659,0.422,0.531,c
5859850,0.712,0.631,0.699,0.308,0.355,0.298,0.55,0.572,0.49,0.681,0.321,0.537,c
