userid,day1_cos_AI_Human,day1_cos_diary_AI,day1_cos_diary_Human,day2_cos_AI_Human,day2_cos_diary_AI,day2_cos_diary_Human,day3_cos_AI_Human,day3_cos_diary_AI,day3_cos_diary_Human,ave_cos_AI_Human,ave_cos_diary_AI,ave_cos_diary_Human
4680788,0.748,0.846,0.649,0.329,0.189,0.294,0.461,0.39,0.527,0.748,0.271,0.459
769122,0.772,0.762,0.783,0.145,0.656,0.534,0.396,0.788,0.687,0.772,0.445,0.624
2884266,0.861,0.827,0.749,0.505,0.486,0.362,0.676,0.737,0.572,0.812,0.451,0.662
1041184,0.75,0.705,0.699,0.6,0.404,0.459,0.616,0.593,0.651,0.718,0.488,0.62
2658832,0.673,0.483,0.576,0.519,0.401,0.539,0.578,0.413,0.498,0.577,0.486,0.496
4550563,0.689,0.853,0.775,0.31,0.472,0.441,0.539,0.598,0.591,0.772,0.408,0.576
4362605,0.705,0.708,0.751,0.415,0.316,0.263,0.658,0.544,0.428,0.721,0.331,0.543
109960,0.804,0.759,0.881,0.645,0.598,0.752,0.721,0.687,0.775,0.814,0.665,0.728
3989245,0.696,0.716,0.722,0.377,0.483,0.41,0.51,0.627,0.604,0.711,0.424,0.58
4999612,0.742,0.555,0.627,0.567,0.681,0.674,0.791,0.452,0.407,0.641,0.641,0.55
3982463,0.802,0.828,0.852,0.647,0.62,0.493,0.759,0.765,0.626,0.827,0.587,0.717
5612737,0.751,0.835,0.718,0.586,0.469,0.467,0.672,0.555,0.605,0.768,0.507,0.611
1641297,0.879,0.752,0.753,0.381,0.6,0.375,0.494,0.698,0.582,0.795,0.452,0.591
5134695,0.684,0.882,0.834,0.447,0.387,0.449,0.67,0.523,0.634,0.8,0.428,0.609
5024777,0.808,0.804,0.771,0.579,0.553,0.41,0.617,0.655,0.543,0.794,0.514,0.605
4175095,0.777,0.583,0.834,0.361,0.31,0.516,0.501,0.655,0.676,0.731,0.395,0.61
3551128,0.701,0.758,0.877,0.26,0.427,0.231,0.532,0.553,0.441,0.778,0.306,0.509
5012138,0.811,0.711,0.652,0.386,0.365,0.352,0.47,0.479,0.462,0.725,0.368,0.471
3045407,0.621,0.579,0.647,0.555,0.318,0.49,0.551,0.47,0.495,0.616,0.454,0.505
603644,0.617,0.644,0.761,0.437,0.513,0.247,0.459,0.421,0.394,0.674,0.399,0.425
3836202,0.67,0.746,0.751,0.539,0.613,0.515,0.733,0.768,0.688,0.722,0.556,0.73
2511924,0.763,0.738,0.797,0.496,0.456,0.33,0.611,0.545,0.506,0.766,0.427,0.554
1117797,0.706,0.696,0.644,0.514,0.378,0.194,0.644,0.439,0.503,0.682,0.362,0.529
1822057,0.837,0.788,0.829,0.42,0.485,0.487,0.617,0.718,0.587,0.818,0.464,0.641
5704605,0.615,0.76,0.738,0.348,0.383,0.505,0.712,0.586,0.686,0.704,0.412,0.661
3564821,0.682,0.602,0.685,0.234,0.477,0.402,0.499,0.419,0.572,0.656,0.371,0.496
5162881,0.706,0.636,0.86,0.455,0.492,0.216,0.664,0.627,0.413,0.734,0.387,0.568
3327831,0.744,0.712,0.826,0.558,0.491,0.63,0.703,0.753,0.555,0.761,0.56,0.67
727067,0.762,0.762,0.819,0.366,0.406,0.27,0.573,0.483,0.515,0.781,0.347,0.524
2511054,0.733,0.788,0.671,0.373,0.302,0.49,0.604,0.522,0.619,0.731,0.388,0.582
3985102,0.61,0.722,0.867,0.216,0.423,0.567,0.413,0.611,0.7,0.733,0.402,0.575
2268853,0.683,0.768,0.63,0.383,0.357,0.472,0.483,0.512,0.456,0.694,0.404,0.484
2503650,0.668,0.703,0.737,0.444,0.417,0.549,0.59,0.577,0.683,0.703,0.47,0.617
4495877,0.737,0.719,0.829,0.586,0.416,0.313,0.796,0.524,0.514,0.762,0.438,0.611
707767,0.857,0.851,0.76,0.367,0.502,0.529,0.46,0.55,0.472,0.823,0.466,0.494
2933157,0.634,0.759,0.788,0.527,0.412,0.561,0.589,0.579,0.613,0.727,0.5,0.594
3266322,0.659,0.818,0.863,0.265,0.5,0.551,0.443,0.593,0.615,0.78,0.439,0.55
5780152,0.813,0.857,0.891,0.521,0.465,0.506,0.538,0.579,0.561,0.854,0.497,0.559
2848289,0.676,0.675,0.79,0.297,0.612,0.434,0.575,0.701,0.578,0.714,0.447,0.618
1147884,0.873,0.863,0.783,0.376,0.554,0.436,0.408,0.624,0.52,0.84,0.455,0.517
5231896,0.735,0.772,0.86,0.487,0.479,0.524,0.645,0.652,0.639,0.789,0.497,0.645
114735,0.754,0.719,0.766,0.197,0.33,0.292,0.441,0.553,0.536,0.746,0.273,0.51
2331402,0.638,0.804,0.756,0.409,0.416,0.565,0.514,0.504,0.648,0.733,0.463,0.555
