userid,day1_cos_AI_Human,day1_cos_diary_AI,day1_cos_diary_Human,day2_cos_AI_Human,day2_cos_diary_AI,day2_cos_diary_Human,day3_cos_AI_Human,day3_cos_diary_AI,day3_cos_diary_Human,ave_cos_AI_Human,ave_cos_diary_AI,ave_cos_diary_Human
3602839,0.741,0.811,0.804,0.365,0.526,0.402,0.514,0.611,0.477,0.785,0.431,0.534
367640,0.748,0.693,0.71,0.39,0.436,0.487,0.599,0.667,0.558,0.717,0.438,0.608
1414611,0.727,0.747,0.653,0.34,0.461,0.353,0.633,0.607,0.542,0.709,0.385,0.594
5372982,0.666,0.775,0.747,0.498,0.472,0.568,0.602,0.651,0.657,0.729,0.513,0.637
4815918,0.668,0.598,0.806,0.246,0.177,0.511,0.448,0.397,0.56,0.691,0.311,0.468
106610,0.615,0.696,0.803,0.481,0.642,0.288,0.64,0.589,0.395,0.705,0.47,0.541
3158965,0.598,0.834,0.712,0.554,0.637,0.434,0.63,0.723,0.681,0.714,0.541,0.678
1335657,0.532,0.796,0.741,0.425,0.358,0.398,0.527,0.447,0.569,0.69,0.394,0.515
4651532,0.552,0.692,0.644,0.632,0.598,0.448,0.525,0.633,0.491,0.629,0.559,0.55
2579314,0.655,0.783,0.741,0.471,0.417,0.457,0.605,0.548,0.547,0.726,0.449,0.566
5054908,0.779,0.793,0.83,0.569,0.504,0.613,0.635,0.646,0.695,0.801,0.562,0.659
4562747,0.667,0.669,0.772,0.548,0.571,0.6,0.705,0.683,0.778,0.703,0.573,0.722
1264394,0.726,0.681,0.698,0.414,0.592,0.49,0.658,0.536,0.687,0.702,0.499,0.627
5208842,0.696,0.721,0.795,0.455,0.624,0.593,0.629,0.713,0.683,0.737,0.557,0.675
1454035,0.743,0.817,0.719,0.571,0.443,0.426,0.695,0.619,0.672,0.76,0.48,0.662
3312891,0.755,0.763,0.819,0.485,0.429,0.529,0.508,0.53,0.653,0.779,0.481,0.564
148287,0.852,0.713,0.793,0.605,0.474,0.472,0.676,0.593,0.456,0.786,0.517,0.575
113407,0.7,0.778,0.776,0.543,0.533,0.551,0.742,0.687,0.64,0.751,0.542,0.69
4556406,0.684,0.758,0.711,0.519,0.543,0.471,0.668,0.594,0.575,0.718,0.511,0.613
4921532,0.694,0.759,0.725,0.552,0.65,0.667,0.71,0.692,0.759,0.726,0.623,0.72
5196867,0.602,0.751,0.812,0.113,0.098,0.437,0.336,0.173,0.433,0.722,0.216,0.314
5289773,0.805,0.727,0.835,0.539,0.47,0.658,0.537,0.64,0.607,0.789,0.556,0.595
1127132,0.801,0.746,0.819,0.634,0.463,0.482,0.716,0.717,0.602,0.789,0.526,0.678
5261619,0.818,0.876,0.804,0.717,0.522,0.448,0.781,0.682,0.671,0.833,0.562,0.711
4733003,0.718,0.807,0.683,0.439,0.499,0.382,0.545,0.475,0.492,0.736,0.44,0.504
1359285,0.695,0.777,0.647,0.403,0.391,0.327,0.604,0.544,0.56,0.706,0.374,0.569
4340461,0.612,0.791,0.807,0.669,0.476,0.508,0.576,0.478,0.497,0.736,0.551,0.517
4802537,0.733,0.893,0.724,0.343,0.547,0.679,0.551,0.666,0.716,0.783,0.523,0.644
5138531,0.666,0.689,0.753,0.239,0.337,0.366,0.604,0.735,0.668,0.703,0.314,0.669
5664835,0.701,0.818,0.784,0.476,0.402,0.397,0.693,0.494,0.536,0.768,0.425,0.574
5348603,0.636,0.801,0.705,0.509,0.474,0.407,0.639,0.533,0.648,0.714,0.463,0.607
4548801,0.596,0.564,0.811,0.37,0.494,0.519,0.598,0.442,0.581,0.657,0.461,0.54
5218071,0.764,0.801,0.737,0.584,0.458,0.454,0.715,0.627,0.681,0.767,0.499,0.675
1220629,0.667,0.728,0.758,0.406,0.478,0.444,0.605,0.522,0.545,0.718,0.443,0.558
3954203,0.853,0.811,0.878,0.544,0.522,0.483,0.616,0.589,0.602,0.847,0.516,0.602
1103016,0.492,0.645,0.724,0.409,0.636,0.543,0.451,0.597,0.6,0.621,0.529,0.549
5109125,0.586,0.742,0.717,0.256,0.319,0.374,0.43,0.461,0.481,0.682,0.317,0.457
3153377,0.78,0.773,0.638,0.525,0.671,0.375,0.717,0.728,0.62,0.73,0.524,0.688
1610899,0.754,0.807,0.776,0.678,0.403,0.571,0.731,0.583,0.7,0.779,0.551,0.671
4587175,0.654,0.813,0.849,0.566,0.589,0.739,0.634,0.647,0.698,0.772,0.632,0.66
2141268,0.741,0.628,0.714,0.535,0.353,0.441,0.681,0.609,0.58,0.695,0.443,0.623
3536109,0.612,0.752,0.738,0.434,0.22,0.499,0.552,0.348,0.553,0.701,0.385,0.484
4002112,0.828,0.871,0.789,0.485,0.602,0.537,0.575,0.686,0.603,0.83,0.541,0.621
5957432,0.671,0.612,0.588,0.521,0.431,0.419,0.355,0.471,0.628,0.624,0.457,0.485
4658590,0.752,0.728,0.86,0.523,0.527,0.337,0.566,0.647,0.395,0.78,0.462,0.536
