userid,day1_AI,day1_Human,day1_cos,day2_AI,day2_Human,day2_cos,day3_AI,day3_Human,day3_cos,AI_ave,Human_ave,ave_cos
878721,36.6,28.6,0.493829164658431,57,17.6,0.2807449625374385,61.2,44.4,0.20021335868095166,51.6,30.2,0.3249291619589404
94338,60.2,46.8,0.4949015419574726,54.2,29.6,0.3818017741606062,59,20.8,0.4826639337239525,57.8,32.4,0.4531224166140104
95866,48.2,13.2,0.1998889813958309,68.4,19.6,0.49981519127071494,53.2,23.8,0.3526728079292991,56.6,18.866666666666667,0.35079232686528167
acu9751cw,52,57.8,0.6338656910463875,83.2,82.2,0.6495646214255953,94.8,86.4,0.3790145488497755,76.66666666666667,75.46666666666667,0.5541482871072527
akimi381,45,21.4,0.19088542889273333,60.36363636363637,40.36363636363637,0.44513912771951625,55.25,18.25,0.3641539957327567,55.458333333333336,29.041666666666668,0.33339285078166875
khi1_b4aa,38,28.2,0.2484709336684047,48.8,15.4,0.20341905108624306,53.8,14.8,0.39949127685462094,46.86666666666667,19.466666666666665,0.28379375386975625
KoHaRu09,50.4,21.8,0.5024415910805479,60.8,19.2,0.3313667478318056,56.8,16.6,0.17364862842489184,56,19.2,0.3358189891124151
makimaki0519,59.6,51.2,0.3926158716103737,58.6,44,0.5229577884350213,64.8,41.4,0.41322315518041414,61,45.53333333333333,0.4429322717419364
mor2kir1500,46.8,15.4,0.4169539239683968,60.8,38.8,0.5004004806408973,58.2,40.8,0.46348119143587135,55.266666666666666,31.666666666666668,0.46027853201505514
naotok24,30.4,17.8,0.2608745973749755,42.6,10.4,0.4397994971335425,40.6,16.6,0.3344968040028363,37.86666666666667,14.933333333333334,0.34505696617045145
quartet456,66.8,63.4,0.45070422535211246,78.6,54.8,0.43937477516374684,91.6,73.8,0.5756266417825305,79,64,0.4885685474327966
rdkny933,58.333333333333336,23.666666666666668,0.32826608214930636,60.2,23.6,0.4112314468122326,53.8,23.4,0.39125402252875,57.5,23.5625,0.3769171838300963
SGƒwƒ‹ƒXƒPƒA,56.166666666666664,18,0.4717295153286296,58,32.8,0.288494881605277,64.4,36.8,0.5226260507274093,59.3125,28.5,0.4276168158871053
shigenoi,36,19.8,0.39901193756050646,58.6,27.6,0.4134428126713457,63.8,25.4,0.2796294703579018,52.8,24.266666666666666,0.364028073529918
ys15_cw,52.8,31.4,0.6250203248727716,93.2,39.2,0.3691647494255662,72.6,23.8,0.5123155195785599,72.86666666666666,31.466666666666665,0.5021668646256325
Yuko_office,43.8,15.8,0.38169314268455723,50.6,33.2,0.29083429059274385,60.6,35.6,0.4634811914358712,51.666666666666664,28.2,0.3786695415710574
yume43,34.4,14.4,0.24937733402690823,41.4,5.2,0.1684303842133038,56.6,8.6,0.47609522856952324,44.13333333333333,9.4,0.29796764893657846
‚É‚á‚·‚à,49.9,19.9,0.2834634685081248,61,14.833333333333334,0.46,57.5,23.166666666666668,0.25446209512303813,55,19.40909090909091,0.33264185454372097
5596175,45.2,9.2,0.2896620610108288,54,17.6,0.4212327394808181,41.2,18.4,0.2507849312877596,46.8,15.066666666666666,0.3205599105931355
1472598,68.8,45.4,0.3468878079847373,63.6,42.4,0.4695129501661913,60.6,43.2,0.33946736991660226,64.33333333333333,43.666666666666664,0.3852893760225103
4173223,46.6,26.8,0.3632696097723621,59.2,24.4,0.5166614495546454,75.4,31.4,0.5438214642237083,60.4,27.533333333333335,0.47458417451690527
