userid,day1_AI,day1_Human,day1_cos_AI_Human,day1_cos_diary_AI,day1_cos_diary_Human,day2_AI,day2_Human,day2_cos_AI_Human,day2_cos_diary_AI,day2_cos_diary_Human,day3_AI,day3_Human,day3_cos_AI_Human,day3_cos_diary_AI,day3_cos_diary_Human,AI_ave,Human_ave,ave_cos_AI_Human,ave_cos_diary_AI,ave_cos_diary_Human
878721,36.6,28.6,0.493829164658431,0.14623884514353083,0.30331142829894275,57,17.6,0.2807449625374385,0.014761454142759155,0.12018191281890406,61.2,44.4,0.20021335868095166,0.06206213979517387,0.09629893827871844,51.6,30.2,0.3249291619589404,0.07435414636048795,0.1732640931321884
94338,60.2,46.8,0.4949015419574726,0.10380684981717495,0.17388180629013672,54.2,29.6,0.3818017741606062,0.15987215339548633,0.14954670592291952,59,20.8,0.4826639337239525,0.13020656730571428,0.1396438430468253,57.8,32.4,0.4531224166140104,0.13129519017279184,0.15435745175329385
95866,48.2,13.2,0.1998889813958309,0.1342204789851389,0.09115046960387158,68.4,19.6,0.49981519127071494,0.15553501171949158,0.12258804718871899,53.2,23.8,0.3526728079292991,0.16787599913167117,0.10578013599589613,56.6,18.866666666666667,0.35079232686528167,0.1525438299454339,0.10650621759616223
acu9751cw,52,57.8,0.6338656910463875,0.14909414488640682,0.3006495951437982,83.2,82.2,0.6495646214255953,0.1162602080944257,0.20652672981871179,94.8,86.4,0.3790145488497755,0.15092192514854244,0.2261969845071156,76.66666666666667,75.46666666666667,0.5541482871072527,0.13875875937645832,0.24445776982320852
akimi381,45,21.4,0.19088542889273333,0.1587255444142889,0.1009946454058471,60.36363636363637,40.36363636363637,0.44513912771951625,0.21825985118056554,0.15304370970710837,55.25,18.25,0.3641539957327567,0.2489256503794047,0.1649647013304689,55.458333333333336,29.041666666666668,0.33339285078166875,0.20863701532475304,0.13966768548114145
khi1_b4aa,38,28.2,0.2484709336684047,0.12407401716646863,0.10403129732205985,48.8,15.4,0.20341905108624306,0.23103448275862065,0.14917397079657826,53.8,14.8,0.39949127685462094,0.1999258297767929,0.018998141835123186,46.86666666666667,19.466666666666665,0.28379375386975625,0.18501144323396074,0.0907344699845871
KoHaRu09,50.4,21.8,0.5024415910805479,0.03351419286214608,0.03655819109996194,60.8,19.2,0.3313667478318056,0.046989771660183796,0.059085806446138894,56.8,16.6,0.17364862842489184,0.06168870908644987,0.08926799768470152,56,19.2,0.3358189891124151,0.04739755786959325,0.06163733174360078
makimaki0519,59.6,51.2,0.3926158716103737,0.15498849348368482,0.15047379792770327,58.6,44,0.5229577884350213,0.07485976927589245,0.18131936556464984,64.8,41.4,0.41322315518041414,0.0952773508744179,0.05020338267668921,61,45.53333333333333,0.4429322717419364,0.10837520454466505,0.12733218205634744
mor2kir1500,46.8,15.4,0.4169539239683968,0.1008792298125307,0.24194335156365357,60.8,38.8,0.5004004806408973,0.17739371879672478,0.3692744729379982,58.2,40.8,0.46348119143587135,0.03265696052517716,0.2875818524847833,55.266666666666666,31.666666666666668,0.46027853201505514,0.10364330304481087,0.2995998923288117
naotok24,30.4,17.8,0.2608745973749755,0.06324555320336758,0.24748737341529162,42.6,10.4,0.4397994971335425,0.1305236380134283,0.25181322385615906,40.6,16.6,0.3344968040028363,0.23935677693908453,0.12009611535381536,37.86666666666667,14.933333333333334,0.34505696617045145,0.1443753227186268,0.20646557087508868
