userid,day1_AI,day1_Human,day1_cos,day2_AI,day2_Human,day2_cos,day3_AI,day3_Human,day3_cos,AI_ave,Human_ave,ave_cos
4680788,57.6,17.6,0.7750658792607136,63.4,27.2,0.7486972044997662,65.4,35,0.5528289380185735,62.13333333333333,26.6,0.6921973405930177
769122,57.8,48.4,0.42433421239575275,67.2,52.2,0.3339652454329246,68.8,57.2,0.6668673806745654,64.6,52.6,0.4750556128344143
2884266,57,58.4,0.5382604488321079,70,57.6,0.42576576077797457,81.2,80.6,0.49216245063708225,69.4,65.53333333333333,0.48539622008238825
1041184,52.6,20,0.5735393346764043,58.2,23.4,0.49669963389939165,62.6,25.2,0.5316881677189251,57.8,22.866666666666667,0.5339757120982404
2658832,59.2,12.2,0.19088542889273333,73.4,10,0.2027495562272223,73,12,0.1993501201339109,68.53333333333333,11.4,0.19766170175128883
4550563,56.42857142857143,27.714285714285715,0.4377137796365057,69.6,33.4,0.5756395979652219,70.8,32.8,0.7298427601514278,64.52941176470588,30.88235294117647,0.5810653792510518
4362605,53.6,57.4,0.49170755108038944,86.6,52.6,0.2720066506252563,87.8,74.4,0.38733818627847144,76,61.46666666666667,0.3836841293280391
109960,68.6,48,0.522092563786624,60.5,36.25,0.34736673714593747,71.6,47.6,0.2977325790784218,67.35714285714286,44.5,0.3890639600036611
5057931,59,5,0.0,0,0,0,0,0,0,59,5,0.0
3989245,49.6,50.2,0.5458155346042222,78.8,59.4,0.47477953834489817,57.2,27.3,0.5671755720605982,60.7,41.05,0.5292568816699061
4999612,59.4,44.8,0.6692861921473691,72.4,12.4,0.19444444444444448,61.4,13.2,0.4666282626286914,64.4,23.466666666666665,0.44345296640683496
2799811,0,0,0,58.6,38.4,0.3400495148142979,70.6,13.4,0.40407528526029907,64.6,25.9,0.3720624000372985
3982463,53.2,47.2,0.5630501223808689,66.83333333333333,44.666666666666664,0.4957138317579687,78.4,54.8,0.5024897752542877,66.1875,48.625,0.5204179097977084
5612737,64.83333333333333,21.833333333333332,0.4511538795232172,66,51.8,0.4487801262254327,69.2,25.6,0.5002975305232069,66.5625,32.375,0.46674384542395225
1641297,71.2,70.6,0.5278926357893573,70.8,44.4,0.34434742105767197,58.8,44.2,0.3792363705119818,66.93333333333334,53.06666666666667,0.41715880911967035
5134695,60.2,38.6,0.6096587970309711,82.2,64,0.39334347858350227,66.4,42.4,0.5865557254410011,69.6,48.333333333333336,0.5298526670184915
5024777,67,32,0.30471264207230253,68.6,46.6,0.2589043525093582,62.2,43.2,0.45289764745444133,65.93333333333334,40.6,0.338838214012034
4175095,62.2,51.6,0.3499313519498656,69,60.2,0.4012671500017141,73.2,44.8,0.28237248320100694,68.13333333333334,52.2,0.34452366171752885
3551128,52.8,45,0.5407703407829594,78,31.8,0.3930429475524138,64,47.6,0.538867336988291,64.93333333333334,41.46666666666667,0.49089354177455474
5012138,49.6,23.2,0.7661738953012663,60.6,19.8,0.4843098022505682,65.6,24,0.5213601623400491,58.6,22.333333333333332,0.5906146199639613
275137,0,0,0,73.28571428571429,16.714285714285715,0.38291101792946036,74.4,27.2,0.15678574081108188,73.75,21.083333333333332,0.2698483793702711
3045407,75.6,15.4,0.0943975163291329,74.6,13,0.32141736147612315,72.4,16.6,0.19037229509110573,74.2,15,0.20206239096545392
603644,48.8,15.6,0.4436782547080569,63,17.8,0.40915854419248576,71.6,25.8,0.3821434990238013,61.13333333333333,19.733333333333334,0.41166009930811465
3836202,42.6,23.6,0.49941030761413957,69,35.2,0.43405736614121565,55,37.8,0.469743163014841,55.53333333333333,32.2,0.4677369455900654
2511924,60,44,0.3939835081508306,74.2,51,0.44280744277004774,63.4,44.6,0.5392750782883379,65.86666666666666,46.53333333333333,0.4586886764030721
1117797,63.4,16.4,0.2597943666588219,57.4,23.8,0.23231373170253147,56.6,25.6,0.35445877847928337,59.13333333333333,21.933333333333334,0.2821889589468789
1822057,56.4,37.2,0.7096057391332833,56.2,55.2,0.5846840329772605,67,69.8,0.5293155269909456,59.86666666666667,54.06666666666667,0.6078684330338298
5704605,47.6,26.8,0.44055195097215993,46,21,0.3401946044500498,58.6,19,0.4452936263957641,50.733333333333334,22.266666666666666,0.40868006060599127
3564821,46.6,21,0.7010887416930996,86.8,19.2,0.39694209301872235,66,17.8,0.46911946360911194,66.46666666666667,19.333333333333332,0.5223834327736446
5162881,63,34.4,0.4901894677425397,59.6,30.2,0.23521677633651425,62.6,49.8,0.4106616018714762,61.733333333333334,38.13333333333333,0.37868928198351004
3327831,45.4,39,0.4726565934366609,70.4,41.2,0.4462594822027169,66,25.2,0.5427682282919859,60.6,35.13333333333333,0.4872281013104546
727067,61.4,32.2,0.5521343320923862,62.166666666666664,32.833333333333336,0.4935455341437256,56.2,44.4,0.5129071661935312,60.0625,36.25,0.519529010809881
5034632,0,0,0,0,0,0,71,3,0.0,71,3,0.0
2511054,61.2,48,0.4510671108178233,87.6,46.8,0.49398566928719523,62.6,45,0.2499276934185888,70.46666666666667,46.6,0.3983268245078691
3985102,55,61.2,0.4402221885941396,67.6,52,0.4264192316982558,61.6,37.4,0.4884464560390223,61.4,50.2,0.45169595877713925
2268853,55,23.2,0.5160468465421401,66.2,35.4,0.5263258793034394,88,39.4,0.23132597278649608,69.73333333333333,32.666666666666664,0.4245662328773585
2503650,53.6,21.6,0.6009942011789684,62,26.4,0.4868338201673969,70.6,33.8,0.2964771652595376,62.06666666666667,27.266666666666666,0.4614350622019676
4495877,54.2,39.4,0.6030767597845671,70,42.4,0.5882815217304753,57.6,34,0.48989794855663554,60.6,38.6,0.560418743357226
707767,52.8,22.6,0.5547001962252291,67.6,28,0.6121460921524146,66,30.8,0.38924947208076155,62.13333333333333,27.133333333333333,0.5186985868194685
2933157,56.8,51,0.2738095238095239,68.8,39.6,0.43499242764671014,68.4,36.6,0.22360679774997896,64.66666666666667,42.4,0.31080291640207103
3266322,59.4,39.4,0.3511902649673557,70.2,30.6,0.5138199967021418,82.6,53.6,0.5637246911950432,70.73333333333333,41.2,0.47624498428818024
5780152,69.4,38.4,0.36913583036771336,62.3,43,0.6793762666419308,75.6,53.4,0.49189255854109964,67.4,44.45,0.5134682185169146
2848289,56.25,45,0.5371352022540758,57.8,26.4,0.345547370232544,55,27,0.6038596398555418,56.357142857142854,31.928571428571427,0.4955140707807206
1147884,77.4,62.6,0.5455005501394377,68.4,64.6,0.25807504344229193,62.2,68.2,0.46566713233403184,69.33333333333333,65.13333333333334,0.42308090863858716
5231896,63,43.8,0.26328014785000425,82.6,53.2,0.3375947656162162,76.2,59.4,0.3726643846793968,73.93333333333334,52.13333333333333,0.3245130993818724
114735,74.6,72,0.3462178716507691,80.2,61,0.40389075064471713,73,60.6,0.44579488179704646,75.93333333333334,64.53333333333333,0.39863450136417755
2331402,74.4,30.8,0.2677042411256415,59.8,38.6,0.3010702158198337,67.75,40.25,0.2697182599595592,67.28571428571429,36.285714285714285,0.27949757230167815
