userid,day1_AI,day1_Human,day1_cos_AI_Human,day1_cos_diary_AI,day1_cos_diary_Human,day2_AI,day2_Human,day2_cos_AI_Human,day2_cos_diary_AI,day2_cos_diary_Human,day3_AI,day3_Human,day3_cos_AI_Human,day3_cos_diary_AI,day3_cos_diary_Human,AI_ave,Human_ave,ave_cos_AI_Human,ave_cos_diary_AI,ave_cos_diary_Human
3602839,57.4,25.4,0.5146140167221414,0.14955130022119323,0.07400114933927607,77,31.4,0.5694947974514994,0.16532501781652711,0.1255356500467848,68.8,35.6,0.6277837204349727,0.13156542365726265,0.15859926512256198,67.73333333333333,30.8,0.5706308448695379,0.14881391389832765,0.11937868816954095
367640,112.4,180,0.5115170791394322,0.15411442370231454,0.18162311341553178,87,120.2,0.23370026583292325,0.15465835327169217,0.15134766628137894,86.4,123,0.29179603756088235,0.15023490028000416,0.22326769173274505,95.26666666666667,141.06666666666666,0.34567112751107926,0.15300255908467028,0.18541282380988525
1414611,72.8,74.8,0.42215852683817523,0.2206471579302519,0.29146851614755426,77.8,108.6,0.44149207720783407,0.20797484017481943,0.39091361390269064,80.2,98,0.49865130992027396,0.386744169893924,0.23382341399737933,76.93333333333334,93.8,0.4541006379887611,0.2717887226663318,0.3054018480158747
5372982,73,53.6,0.44729098817951957,0.15161357878443282,0.13809465581169675,73.4,64,0.4599891719531844,0.15026857675938216,0.13026014978833333,81,59.833333333333336,0.4549765077049527,0.3288629236866035,0.2701758692822923,76.125,59.1875,0.45408555594588557,0.21024835974347283,0.17951022496077412
4815918,60.4,120.8,0.23359167209246062,0.1612350529793646,0.20731933652818768,79.6,51,0.28752731639264756,0.11628180410495192,0.17949801775774202,73.75,41,0.4008188340197078,0.1813876877718148,0.19373320971268498,71.66666666666667,65.94444444444444,0.30731260750160533,0.15296818161871045,0.19351685466620488
106610,50.4,21.8,0.2459594839716409,0.5056958460312516,0.26586372345665976,63.8,19.8,0.27258651025455277,0.3578550875053812,0.19509293895985896,71.8,42.8,0.5205456194566275,0.12740441145412124,0.0710569374448849,62,28.133333333333333,0.34636387122760703,0.33031844833025137,0.17733786662046788
3158965,54.3,22.1,0.4244373438135828,0.3270145807344207,0.23542019416406337,70.57142857142857,41.142857142857146,0.547817603501165,0.3956219227893664,0.4004711461094986,70,68.25,0.4008918628686365,0.18051994664750073,0.3783998833802011,62.714285714285715,37.23809523809524,0.45771560339446143,0.30105215005709596,0.3380970745512544
1335657,67,18.6,0.35254307561611525,0.17440002226136714,0.17266236697725332,75,27.6,0.4309287510451888,0.12403473458920847,0.03375797890278889,69.4,25.2,0.27569139835409595,0.16938373410839827,0.27540472644412506,70.46666666666667,23.8,0.3530544083384667,0.15593949698632462,0.1606083574413891
4651532,62.6,13.2,0.3415650255319866,0.3996433347485139,0.07312724241271307,71.4,24.6,0.1720052290384454,0.3348351923584668,0.17469999198697506,69,15.25,0.26967994498529685,0.19800524473338071,0.14684461964287046,67.57142857142857,17.857142857142858,0.2610833998519096,0.31082792394678715,0.13155728468085287
2579314,73.4,94,0.2719081939443273,0.28887333244486624,0.32863353450309973,67.6,35.2,0.5099891364417928,0.1608799333079687,0.19507682662870648,77.4,33.2,0.3340404340540401,0.20382371040776048,0.1088711890106734,72.8,54.13333333333333,0.37197925481338673,0.21785899205353182,0.21086051671415987
