user_id,Day,AI,Human,cos_AI_Human,cos_diary_AI,cos_diary_Human
1065632,day1,64.8,51.6,0.428,0.076,0.117
1065632,day2,57.6,20.8,0.277,0.139,0.124
1065632,day3,60.4,50.2,0.263,0.094,0.408
115345,day1,50.8,37.8,0.177,0.065,0.238
115345,day2,47.4,35.6,0.331,0.121,0.195
115345,day3,59.4,43.0,0.28,0.237,0.295
1452004,day1,69.2,47.8,0.456,0.315,0.087
1452004,day2,43.0,29.2,0.467,0.176,0.254
1452004,day3,60.6,43.8,0.446,0.101,0.073
1472598,day1,68.8,45.4,0.347,0.045,0.04
1472598,day2,63.6,42.4,0.47,0.038,0.096
1472598,day3,60.6,43.2,0.339,0.055,0.091
1743130,day1,55.6,19.4,0.492,0.104,0.169
1743130,day2,52.2,30.8,0.317,0.133,0.058
1743130,day3,49.4,21.8,0.439,0.101,0.063
1778742,day1,53.2,41.2,0.57,0.043,0.099
1778742,day2,49.2,37.2,0.444,0.111,0.128
1778742,day3,52.2,39.8,0.289,0.165,0.372
2106307,day1,50.6,36.6,0.468,0.094,0.134
2106307,day2,60.8,31.2,0.362,0.118,0.186
2106307,day3,52.6,50.2,0.397,0.314,0.254
2600289,day1,43.0,29.2,0.524,0.214,0.264
2600289,day2,58.8,20.6,0.501,0.17,0.279
2600289,day3,67.6,23.4,0.286,0.129,0.232
2810580,day1,53.2,32.0,0.481,0.034,0.184
2810580,day2,68.6,34.8,0.41,0.016,0.154
2810580,day3,57.6,34.6,0.256,0.097,0.199
2977582,day1,38.6,23.4,0.454,0.191,0.081
2977582,day2,49.8,21.8,0.435,0.127,0.13
2977582,day3,58.0,19.2,0.357,0.037,0.081
4006340,day1,36.833,23.0,0.401,0.073,0.138
4006340,day2,58.4,33.6,0.597,0.093,0.238
4006340,day3,57.8,19.0,0.401,0.123,0.18
4008717,day1,58.0,40.0,0.343,0.075,0.197
4008717,day2,71.2,63.4,0.267,0.075,0.2
4008717,day3,72.6,58.0,0.554,0.086,0.066
4011894,day1,39.2,20.0,0.537,0.078,0.076
4011894,day2,72.2,34.8,0.481,0.051,0.063
4011894,day3,64.6,33.0,0.29,0.183,0.231
4150657,day1,41.0,19.0,0.578,0.076,0.0
4150657,day2,50.6,20.4,0.549,0.102,0.105
4150657,day3,68.8,21.2,0.448,0.228,0.149
4173223,day1,46.6,26.8,0.363,0.046,0.061
4173223,day2,59.2,24.4,0.517,0.168,0.092
4173223,day3,75.4,31.4,0.544,0.054,0.074
4213579,day1,39.8,29.4,0.488,0.1,0.108
4213579,day2,48.4,28.8,0.554,0.214,0.257
4213579,day3,48.8,33.6,0.334,0.064,0.245
4409144,day1,67.0,46.4,0.454,0.197,0.186
4409144,day2,70.2,37.0,0.433,0.227,0.332
