user_id,Day,AI,Human,cos_AI_Human,cos_diary_AI,cos_diary_Human
109960,day1,68.6,48.0,0.522,0.215,0.162
109960,day2,60.5,36.25,0.347,0.149,0.281
109960,day3,71.6,47.6,0.298,0.146,0.288
114735,day1,74.6,72.0,0.346,0.091,0.093
114735,day2,80.2,61.0,0.404,0.159,0.162
114735,day3,73.0,60.6,0.446,0.102,0.218
275137,day1,0.0,0.0,0.0,0.0,0.0
275137,day2,73.286,16.714,0.383,0.321,0.183
275137,day3,74.4,27.2,0.157,0.246,0.139
603644,day1,48.8,15.6,0.444,0.108,0.134
603644,day2,63.0,17.8,0.409,0.105,0.11
603644,day3,71.6,25.8,0.382,0.041,0.1
707767,day1,52.8,22.6,0.555,0.226,0.129
707767,day2,67.6,28.0,0.612,0.257,0.19
707767,day3,66.0,30.8,0.389,0.205,0.215
727067,day1,61.4,32.2,0.552,0.139,0.069
727067,day2,62.167,32.833,0.494,0.239,0.229
727067,day3,56.2,44.4,0.513,0.065,0.062
769122,day1,57.8,48.4,0.424,0.031,0.077
769122,day2,67.2,52.2,0.334,0.207,0.251
769122,day3,68.8,57.2,0.667,0.157,0.268
1041184,day1,52.6,20.0,0.574,0.221,0.246
1041184,day2,58.2,23.4,0.497,0.17,0.374
1041184,day3,62.6,25.2,0.532,0.19,0.205
1117797,day1,63.4,16.4,0.26,0.098,0.053
1117797,day2,57.4,23.8,0.232,0.089,0.062
1117797,day3,56.6,25.6,0.354,0.034,0.098
1147884,day1,77.4,62.6,0.546,0.098,0.109
1147884,day2,68.4,64.6,0.258,0.199,0.27
1147884,day3,62.2,68.2,0.466,0.151,0.232
1641297,day1,71.2,70.6,0.528,0.099,0.163
1641297,day2,70.8,44.4,0.344,0.113,0.227
1641297,day3,58.8,44.2,0.379,0.068,0.16
1822057,day1,56.4,37.2,0.71,0.289,0.257
1822057,day2,56.2,55.2,0.585,0.321,0.386
1822057,day3,67.0,69.8,0.529,0.24,0.292
2268853,day1,55.0,23.2,0.516,0.284,0.132
2268853,day2,66.2,35.4,0.526,0.276,0.183
2268853,day3,88.0,39.4,0.231,0.333,0.159
2331402,day1,74.4,30.8,0.268,0.14,0.226
2331402,day2,59.8,38.6,0.301,0.138,0.395
2331402,day3,67.75,40.25,0.27,0.156,0.394
2503650,day1,53.6,21.6,0.601,0.083,0.03
2503650,day2,62.0,26.4,0.487,0.179,0.073
2503650,day3,70.6,33.8,0.296,0.122,0.238
2511054,day1,61.2,48.0,0.451,0.266,0.271
2511054,day2,87.6,46.8,0.494,0.148,0.194
2511054,day3,62.6,45.0,0.25,0.169,0.19
2511924,day1,60.0,44.0,0.394,0.218,0.265
2511924,day2,74.2,51.0,0.443,0.196,0.166
2511924,day3,63.4,44.6,0.539,0.102,0.14
2658832,day1,59.2,12.2,0.191,0.387,0.184
2658832,day2,73.4,10.0,0.203,0.174,0.146
2658832,day3,73.0,12.0,0.199,0.306,0.04
2799811,day1,0.0,0.0,0.0,0.0,0.0
2799811,day2,58.6,38.4,0.34,0.203,0.184
2799811,day3,70.6,13.4,0.404,0.172,0.089
2848289,day1,56.25,45.0,0.537,0.118,0.05
2848289,day2,57.8,26.4,0.346,0.241,0.338
2848289,day3,55.0,27.0,0.604,0.105,0.11
2884266,day1,57.0,58.4,0.538,0.197,0.175
2884266,day2,70.0,57.6,0.426,0.115,0.249
2884266,day3,81.2,80.6,0.492,0.18,0.158
2933157,day1,56.8,51.0,0.274,0.222,0.133
2933157,day2,68.8,39.6,0.435,0.136,0.236
2933157,day3,68.4,36.6,0.224,0.126,0.368
3045407,day1,75.6,15.4,0.094,0.131,0.066
3045407,day2,74.6,13.0,0.321,0.115,0.0
3045407,day3,72.4,16.6,0.19,0.111,0.112
3266322,day1,59.4,39.4,0.351,0.049,0.0
3266322,day2,70.2,30.6,0.514,0.066,0.013
3266322,day3,82.6,53.6,0.564,0.14,0.166
3327831,day1,45.4,39.0,0.473,0.219,0.109
3327831,day2,70.4,41.2,0.446,0.165,0.213
3327831,day3,66.0,25.2,0.543,0.232,0.144
3551128,day1,52.8,45.0,0.541,0.11,0.23
3551128,day2,78.0,31.8,0.393,0.18,0.125
3551128,day3,64.0,47.6,0.539,0.062,0.151
3564821,day1,46.6,21.0,0.701,0.224,0.266
3564821,day2,86.8,19.2,0.397,0.107,0.089
3564821,day3,66.0,17.8,0.469,0.244,0.342
3836202,day1,42.6,23.6,0.499,0.239,0.406
3836202,day2,69.0,35.2,0.434,0.188,0.216
3836202,day3,55.0,37.8,0.47,0.177,0.293
3982463,day1,53.2,47.2,0.563,0.467,0.474
3982463,day2,66.833,44.667,0.496,0.311,0.389
3982463,day3,78.4,54.8,0.502,0.163,0.282
3985102,day1,55.0,61.2,0.44,0.036,0.086
3985102,day2,67.6,52.0,0.426,0.174,0.099
3985102,day3,61.6,37.4,0.488,0.154,0.176
3989245,day1,49.6,50.2,0.546,0.114,0.17
3989245,day2,78.8,59.4,0.475,0.189,0.281
3989245,day3,57.2,27.3,0.567,0.292,0.305
4175095,day1,62.2,51.6,0.35,0.056,0.096
4175095,day2,69.0,60.2,0.401,0.138,0.27
4175095,day3,73.2,44.8,0.282,0.187,0.204
4362605,day1,53.6,57.4,0.492,0.186,0.207
4362605,day2,86.6,52.6,0.272,0.176,0.218
4362605,day3,87.8,74.4,0.387,0.092,0.216
4495877,day1,54.2,39.4,0.603,0.196,0.257
4495877,day2,70.0,42.4,0.588,0.331,0.281
4495877,day3,57.6,34.0,0.49,0.113,0.185
4550563,day1,56.429,27.714,0.438,0.073,0.2
4550563,day2,69.6,33.4,0.576,0.131,0.037
4550563,day3,70.8,32.8,0.73,0.11,0.032
4680788,day1,57.6,17.6,0.775,0.071,0.057
4680788,day2,63.4,27.2,0.749,0.059,0.052
4680788,day3,65.4,35.0,0.553,0.183,0.138
4999612,day1,59.4,44.8,0.669,0.399,0.506
4999612,day2,72.4,12.4,0.194,0.209,0.036
4999612,day3,61.4,13.2,0.467,0.295,0.172
5012138,day1,49.6,23.2,0.766,0.069,0.065
5012138,day2,60.6,19.8,0.484,0.096,0.085
5012138,day3,65.6,24.0,0.521,0.092,0.108
5024777,day1,67.0,32.0,0.305,0.159,0.108
5024777,day2,68.6,46.6,0.259,0.223,0.178
5024777,day3,62.2,43.2,0.453,0.102,0.185
5034632,day1,0.0,0.0,0.0,0.0,0.0
5034632,day2,0.0,0.0,0.0,0.0,0.0
5034632,day3,71.0,3.0,0.0,0.227,0.0
5057931,day1,59.0,5.0,0.0,0.314,0.0
5057931,day2,0.0,0.0,0.0,0.0,0.0
5057931,day3,0.0,0.0,0.0,0.0,0.0
5134695,day1,60.2,38.6,0.61,0.222,0.298
5134695,day2,82.2,64.0,0.393,0.204,0.177
5134695,day3,66.4,42.4,0.587,0.064,0.237
5162881,day1,63.0,34.4,0.49,0.164,0.088
5162881,day2,59.6,30.2,0.235,0.165,0.078
5162881,day3,62.6,49.8,0.411,0.027,0.06
5231896,day1,63.0,43.8,0.263,0.219,0.253
5231896,day2,82.6,53.2,0.338,0.211,0.359
5231896,day3,76.2,59.4,0.373,0.147,0.312
5612737,day1,64.833,21.833,0.451,0.216,0.051
5612737,day2,66.0,51.8,0.449,0.161,0.104
5612737,day3,69.2,25.6,0.5,0.145,0.081
5704605,day1,47.6,26.8,0.441,0.119,0.092
5704605,day2,46.0,21.0,0.34,0.155,0.301
5704605,day3,58.6,19.0,0.445,0.079,0.168
5780152,day1,69.4,38.4,0.369,0.118,0.041
5780152,day2,62.3,43.0,0.679,0.136,0.159
5780152,day3,75.6,53.4,0.492,0.187,0.149
