group,t_value,AIC_ave_PANAS_N,AIC_ave_PANAS_P,AIC_ave_competence,AIC_ave_understanding,AIC_ave_warmth,AIC_ave_willingness,BIC_ave_PANAS_N,BIC_ave_PANAS_P,BIC_ave_competence,BIC_ave_understanding,BIC_ave_warmth,BIC_ave_willingness,Huber_loss_ave_PANAS_N,Huber_loss_ave_PANAS_P,Huber_loss_ave_competence,Huber_loss_ave_understanding,Huber_loss_ave_warmth,Huber_loss_ave_willingness
groupa,0.2,-12.029,-11.875,-29.478,-19.555,-51.69,-1.666,-8.286,-8.132,-25.736,-15.813,-47.948,2.077,0.106,0.118,0.08,0.092,0.07,0.117
groupa,0.3,-13.268,-12.118,-29.526,-19.63,-51.488,-1.234,-9.526,-8.376,-25.784,-15.888,-47.745,2.508,0.146,0.164,0.109,0.126,0.093,0.164
groupa,0.4,-14.352,-12.361,-29.526,-19.693,-51.353,-1.377,-10.609,-8.619,-25.784,-15.95,-47.611,2.365,0.178,0.203,0.133,0.154,0.109,0.205
groupa,0.5,-15.387,-12.487,-29.461,-19.728,-51.414,-1.454,-11.645,-8.744,-25.719,-15.985,-47.672,2.288,0.205,0.234,0.152,0.177,0.121,0.24
groupa,0.6,-16.166,-12.638,-29.422,-19.737,-51.626,-1.411,-12.423,-8.895,-25.68,-15.995,-47.884,2.332,0.225,0.261,0.167,0.195,0.13,0.27
groupa,0.7,-16.791,-12.79,-29.363,-19.748,-51.879,-1.431,-13.049,-9.047,-25.621,-16.006,-48.136,2.311,0.242,0.282,0.179,0.21,0.137,0.296
groupa,0.8,-17.341,-12.874,-29.331,-19.686,-52.266,-1.705,-13.598,-9.131,-25.589,-15.943,-48.524,2.037,0.256,0.299,0.189,0.222,0.141,0.317
groupa,0.9,-17.799,-12.949,-29.347,-19.64,-52.723,-1.852,-14.056,-9.207,-25.605,-15.897,-48.981,1.891,0.267,0.313,0.198,0.232,0.145,0.335
groupa,1.0,-18.179,-13.008,-29.324,-19.584,-53.229,-1.956,-14.436,-9.266,-25.582,-15.841,-49.487,1.787,0.277,0.323,0.205,0.24,0.147,0.35
groupa,1.1,-18.482,-13.05,-29.276,-19.501,-53.447,-2.095,-14.74,-9.308,-25.533,-15.759,-49.705,1.647,0.285,0.332,0.212,0.248,0.148,0.362
groupa,1.2,-18.727,-13.077,-29.271,-19.501,-53.577,-2.388,-14.984,-9.335,-25.528,-15.759,-49.834,1.355,0.291,0.338,0.218,0.255,0.15,0.373
groupa,1.3,-18.907,-13.089,-29.318,-19.56,-53.703,-2.56,-15.164,-9.346,-25.576,-15.818,-49.96,1.182,0.296,0.343,0.223,0.262,0.15,0.383
