StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q3_Browser,Q3_Version,Q3_Operating System,Q3_Resolution,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,Q7_First Click,Q7_Last Click,Q7_Page Submit,Q7_Click Count,Q8,Q9_First Click,Q9_Last Click,Q9_Page Submit,Q9_Click Count,Q10,Q11_First Click,Q11_Last Click,Q11_Page Submit,Q11_Click Count,Q12,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q14,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,Q16,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q19_First Click,Q19_Last Click,Q19_Page Submit,Q19_Click Count,Q20,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q22,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,Q24,Q25_First Click,Q25_Last Click,Q25_Page Submit,Q25_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q28,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q30,Q31_First Click,Q31_Last Click,Q31_Page Submit,Q31_Click Count,Q34,user_id,group,q1,q2,q3,q4,q5
2024-09-17 01:41:51,2024-09-17 01:42:39,1,,100,47,1,2024-09-17 01:42:40,R_4xCWR86Xem31L0R,,,,,34.6986,135.5079,preview,JA,1,2,3,4,5,6,5,5,5,5,5,4,3,2,1,1,Chrome,123.0.0.0,Windows NT 10.0,1920x1080,3.837,4.095,5.1,2,,0,0,3.837,0,3,3.328,4.252,4.883,4,5,0.735,3.002,4.071,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-09-17 04:27:22,2024-09-17 04:29:18,0,123.226.24.140,100,116,1,2024-09-17 04:29:19,R_4jeKKEmar6RUiqb,,,,,34.6986,135.5079,anonymous,JA,3,5,5,4,4,4,4,3,5,3,4,2,5,4,4,5,Chrome,123.0.0.0,Windows NT 10.0,1920x1080,0,0,4.1,0,4,0.553,2.665,3.517,6,3,1.235,1.235,3.527,1,2,0.845,1.348,3.427,2,4,2.558,3.405,3.647,3,5,0.372,1.387,3.552,3,5,13.385,13.385,13.714,1,0,0,5.385,0,3,0.591,1.779,3.541,3,4,0.842,0.842,3.47,1,5,4.199,7.123,7.414,3,0,0,3.993,0,1,0.361,3.347,3.67,2,3,0.684,0.684,3.54,1,"今日はもう、、眠いです、、、、
徹夜でbot開発してます、、、、、、、
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",704086,groupc,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-09-17 01:46:25,2024-09-17 01:46:56,0,123.226.24.140,80,30,0,2024-09-24 01:46:57,R_4RedxVbYhwpvcdX,,,,,,,anonymous,JA,6,6,5,5,5,5,4,4,4,5,5,5,5,4,4,4,Chrome,123.0.0.0,Windows NT 10.0,1920x1080,2.048,2.245,3.601,2,1,1.235,1.235,3.74,1,3,0.065,4.664,5.155,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-26 19:49:09,2024-09-26 19:51:08,1,,100,119,1,2024-09-26 19:51:08,R_4c8wUWoWfFk1kma,,,,,34.6986,135.5079,preview,JA,4,3,5,6,4,5,5,4,4,5,4,3,4,5,3,3,Chrome,123.0.0.0,Windows NT 10.0,1920x1080,0,0,4.481,0,3,0.778,0.778,3.309,1,4,0.355,0.355,3.377,1,5,0.419,0.419,3.438,1,2,0.542,0.542,3.75,1,3,0.291,1.653,3.268,3,2,1.364,3.748,4.084,3,0.51,0.51,6.243,1,5,0.651,0.651,3.455,1,3,0.321,0.321,6.396,1,4,1.152,1.152,3.541,1,0,0,5.635,0,2,1.448,1.448,3.835,1,1,0.579,0.579,3.278,1,きょうはとってもたのしかったよ！あああああああくくクラウドワークスあれば、RAGⓌDYMRIOTradikoDFのｇhellohelloyj製faceftÐRIOTファミリーマートあajAという性格rootファミリーマートt,,,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-09-26 20:15:03,2024-09-26 20:17:53,0,123.226.24.140,100,169,1,2024-09-26 20:17:53,R_4CkIrPr3VFstk7n,,,,,34.6986,135.5079,anonymous,JA,5,2,2,3,5,4,4,3,5,5,4,4,2,3,5,2,Chrome,123.0.0.0,Windows NT 10.0,1920x1080,0,0,8.108,0,5,59.353,59.353,59.771,1,2,1.64,1.64,3.46,1,1,0.871,1.163,4.237,2,3,0.797,1.275,3.54,2,3,20.721,20.721,21.248,1,3,9.788,9.788,10.499,1,4.232,4.505,6.496,2,3,0.947,0.947,3.451,1,4,0.6,1.163,3.447,3,2,0.999,0.999,3.847,1,0,0,4.166,0,2,0.694,0.694,3.826,1,4,0.491,0.491,3.516,1,ｆｇｄｈｓｆｇｇｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓｓ,704086,groupc,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-09-27 16:59:45,2024-09-27 17:02:06,0,1.75.204.21,100,141,1,2024-09-27 17:02:07,R_4Q0zcV5Z5TAm6sS,,,,,35.6837,139.6805,anonymous,JA,3,3,4,3,4,4,4,2,4,4,2,3,5,3,2,4,Chrome,128.0.0.0,Android 10,350x817,0,0,4.064,0,1,0.54,1.221,3.573,2,3,0.584,1.173,3.3,2,4,0.523,0.831,3.445,2,2,0.985,1.774,3.845,2,4,4.925,6.3,8.663,3,1,0.471,1.56,3.64,3,0,0,3.498,0,2,0.682,1.647,3.37,2,3,0.592,0.898,3.385,2,1,0.481,0.955,3.365,2,0,0,3.759,0,1,0.548,1.054,3.462,2,2,0.538,0.952,3.801,2,今日もとっても楽しかったです書き方を教えてくれたら嬉しいです!尤度とは行きたいとは暑すぎてるんだよね？の同じく午後対応可能行きたいとは暑すぎてるんだよね？冬つの同じく午後対応可能ふ@k（?!!。不服な不服不服住民票,704086,groupc,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-10-02 06:05:07,2024-10-02 06:07:03,0,123.226.24.140,100,115,1,2024-10-02 06:07:03,R_4DzPNnqcUTLF6YF,,,,,34.6986,135.5079,anonymous,JA,3,3,3,3,3,2,2,2,3,1,3,3,3,2,3,2,Chrome,123.0.0.0,Windows NT 10.0,1920x1080,0,0,5.612,0,1,0.814,1.345,3.335,2,4,0.448,0.448,3.94,1,3,1.537,1.537,4.655,1,3,0.607,1.558,3.485,3,2,0.788,0.788,3.425,1,3,4.089,4.089,7.018,1,0,0,4.021,0,2,1.251,4.213,6.774,3,3,0.488,0.488,3.52,1,4,0.792,0.792,4.039,1,0,0,3.864,0,4,1.15,1.15,3.538,1,2,1.715,1.715,3.369,1,あああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああ,3158965,groupc,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-10-02 12:39:20,2024-10-02 12:43:10,0,60.117.232.139,100,229,1,2024-10-02 12:43:11,R_4QoyjEtpN3x0BI3,,,,,35.6622,139.6842,anonymous,JA,2,3,2,3,1,2,2,2,2,4,3,3,3,2,2,3,Chrome,129.0.0.0,Android 10,485x1049,0,0,5.19,0,4,1.783,2.498,3.5,2,4,1.681,1.681,3.488,1,4,2.135,2.135,3.427,1,3,2.701,2.701,3.783,1,4,1.433,1.433,3.476,1,3,1.522,1.522,3.495,1,0,0,3.618,0,4,1.151,1.608,3.509,2,4,1.96,1.96,3.419,1,5,1.088,1.453,3.501,2,0,0,3.734,0,5,1.516,1.516,3.516,1,4,1.822,1.822,3.498,1,今日は出勤時間が遅いため、午前中は好きなことができました。副業としてクラウドソーシングを利用し、ライターなどをやっているので、それを頑張りました。これから出勤です。色々変更点があって面倒ですが、頑張らないとですね。ほどほどにやります。,naotok24,groupa,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-10-02 12:38:14,2024-10-02 12:44:08,0,104.28.99.219,100,353,1,2024-10-02 12:44:08,R_4kt8hNOVgJO9QYj,,,,,35.6893,139.6899,anonymous,JA,2,5,4,4,3,4,4,4,1,1,1,1,1,1,1,1,Safari iPhone,17.0.1,iPhone,393x852,0,0,3.701,0,3,1.621,2.808,5.491,2,3,1.229,2.704,4.108,2,3,2.965,4.227,5.335,3,4,5.917,5.917,6.587,1,4,1.096,2.114,3.504,4,3,2.644,4.176,5.038,4,0,0,15.407,0,4,4.445,5.027,5.049,2,4,12.811,13.459,14.407,2,4,1.603,4.431,10.658,2,0,0,6.446,0,4,2.275,2.694,5.859,2,4,1.378,4.802,6.973,4,今日はチャットボットと話して楽しかった。以前入れた日記の内容を振り返るのかと思っていたが、そうではなかった。ランチは旦那さんとお寿司で楽しかった。午前中は色々仕事をした。作成中の楽譜をアップロードできてよかった。明日も頑張りたいと思う。,Yuko_office,groupa,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-10-02 12:46:08,2024-10-02 12:53:04,0,69.172.174.59,100,415,1,2024-10-02 12:53:05,R_6DA3vtf5Ga2Q2x6,,,,,49.2311,-122.956,anonymous,JA,1,3,4,4,3,4,4,1,1,2,1,1,1,1,1,1,Safari iPhone,18.0,iPhone,375x812,7.689,7.689,11.723,1,4,1.322,3.039,4.454,3,4,1.891,5.861,6.495,4,3,11.004,11.67,12.773,2,5,2.816,4.649,5.566,3,5,1.856,3.39,4.393,4,5,1.116,3.417,4.001,4,0,0,6.071,0,3,2.216,4.184,4.772,3,4,3.123,5.606,6.724,3,4,2.574,3.038,3.767,2,3.735,3.735,5.901,1,4,2.72,3.687,4.567,3,4,4.229,5.302,5.982,3,今日の寝起きに少し頭痛があったので、紅茶を飲もうと思っていたが、ノンカフェインのハーブティーにした。昨日ミートソースを作ったので、今朝はスパゲッティを茹でた。ランチにミートソーススパゲッティを用意して、パスタが少し残ったので、それを朝ごはんとして食べた。ご飯を食べながら動画を見てゆっくり過ごし、出勤の準備を始め、仕事に向かった。,1127132,groupc,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
